This file contains the monthly mean baseline (background) nitrous oxide (N2O) concentration
"measured at the Kennaook / Cape Grim Baseline Air Pollution Station (KCGBAPS), "
"located near the north-west tip of Tasmania, Australia."
"KCGBAPS is funded and managed by the Australian Bureau of Meteorology, and"
the scientific program is jointly supervised with CSIRO Oceans & Atmosphere.
Please acknowledge these two institutions if these data are used in publications or presentations.

For more information on Kennaook / Cape Grim please see:
http://www.csiro.au/greenhouse-gases/
https://www.csiro.au/en/Research/OandA/Areas/Assessing-our-climate/Greenhouse-gas-data
http://www.bom.gov.au/inside/cgbaps/

The N2O units are parts per billion in dry air (ppb).

The most recent year of data is provided in this file on
a provisional basis only. These data may be subject to further revision. 
CSIRO & the Bureau make every effort to produce the most accurate and 
"precise measurements possible. However, they reserve the right to make"
corrections to the data based on recalibration of standard gases
or for other reasons deemed scientifically justified.
Please see the full terms & conditions at the end of this file.

Release Date: January 2025
 
YYYY,MM,DD,DATE,N2O(ppb),SD(ppb),GR(ppm/yr),Source
1994,5,15,1994.367123000000,309.650,0.315100,0.523010,"flask"
1994,6,15,1994.452055000000,310.007,0.331000,0.923004,"flask"
1994,7,15,1994.534247000000,310.111,0.229600,1.16199,"flask"
1994,8,15,1994.619178000000,310.213,0.329200,0.937012,"flask"
1994,9,15,1994.704110000000,310.294,0.328900,0.307983,"flask"
1994,10,15,1994.786301000000,310.172,0.315300,0.272980,"flask"
1994,11,15,1994.871233000000,310.177,0.321600,0.523010,"flask"
1994,12,15,1994.953425000000,310.390,0.282100,0.245026,"flask"
1995,1,15,1995.038356000000,310.504,0.329700,0.0780029,"flask"
1995,2,15,1995.123288000000,310.293,0.217900,0.315979,"flask"
1995,3,15,1995.200000000000,310.003,0.332300,0.626984,"flask"
1995,4,15,1995.284932000000,309.968,0.315600,0.785004,"flask"
1995,5,15,1995.367123000000,310.173,0.336700,0.841003,"flask"
1995,6,15,1995.452055000000,310.252,0.273500,0.834991,"flask"
1995,7,15,1995.534247000000,310.189,0.348600,0.704010,"flask"
1995,8,15,1995.619178000000,310.529,0.300300,0.694000,"flask"
1995,9,15,1995.704110000000,310.921,0.226600,0.932007,"flask"
1995,10,15,1995.786301000000,310.957,0.221900,0.867004,"flask"
1995,11,15,1995.871233000000,311.018,0.240900,0.582001,"flask"
1995,12,15,1995.953425000000,311.225,0.264500,0.588989,"flask"
1996,1,15,1996.038251000000,311.208,0.248800,0.846008,"flask"
1996,2,15,1996.122951000000,310.987,0.277200,0.786011,"flask"
1996,3,15,1996.202186000000,310.935,0.181800,0.537018,"flask"
1996,4,15,1996.286885000000,310.835,0.290600,0.579010,"flask"
1996,5,15,1996.368852000000,310.755,0.278300,0.574982,"flask"
1996,6,15,1996.453552000000,310.841,0.316300,0.572998,"flask"
1996,7,15,1996.535519000000,311.035,0.248800,0.779999,"flask"
1996,8,15,1996.620219000000,311.315,0.305000,0.967987,"flask"
1996,9,15,1996.704918000000,311.458,0.314400,1.01199,"flask"
1996,10,15,1996.786885000000,311.536,0.261200,0.933014,"flask"
1996,11,15,1996.871585000000,311.593,0.192900,1.00198,"flask"
1996,12,15,1996.953552000000,311.798,0.199600,1.14200,"flask"
1997,1,15,1997.038356000000,311.988,0.140700,0.934998,"flask"
1997,2,15,1997.123288000000,311.955,0.238600,0.889984,"flask"
1997,3,15,1997.200000000000,311.947,0.368600,1.14200,"flask"
1997,4,15,1997.284932000000,311.768,0.284600,1.23700,"flask"
1997,5,15,1997.367123000000,311.757,0.308200,1.28403,"flask"
1997,6,15,1997.452055000000,311.983,0.319300,1.11798,"flask"
1997,7,15,1997.534247000000,311.970,0.341800,0.911987,"flask"
1997,8,15,1997.619178000000,312.205,0.254300,0.834015,"flask"
1997,9,15,1997.704110000000,312.600,0.225900,0.637024,"flask"
1997,10,15,1997.786301000000,312.773,0.331400,0.734985,"flask"
1997,11,15,1997.871233000000,312.877,0.132100,0.785004,"flask"
1997,12,15,1997.953425000000,312.916,0.267500,0.657013,"flask"
1998,1,15,1998.038356000000,312.900,0.292100,1.00198,"flask"
1998,2,15,1998.123288000000,312.789,0.241700,1.07401,"flask"
1998,3,15,1998.200000000000,312.584,0.222000,0.769989,"flask"
1998,4,15,1998.284932000000,312.503,0.256500,0.694977,"flask"
1998,5,15,1998.367123000000,312.542,0.291600,0.727997,"flask"
1998,6,15,1998.452055000000,312.640,0.370500,0.848022,"flask"
1998,7,15,1998.534247000000,312.972,0.235100,0.925995,"flask"
1998,8,15,1998.619178000000,313.279,0.207000,1.02301,"flask"
1998,9,15,1998.704110000000,313.370,0.263700,1.25800,"flask"
1998,10,15,1998.786301000000,313.468,0.317300,1.23300,"flask"
1998,11,15,1998.871233000000,313.605,0.263700,1.05402,"flask"
1998,12,15,1998.953425000000,313.764,0.165300,1.00998,"flask"
1999,1,15,1999.038356000000,313.826,0.325800,0.835022,"flask"
1999,2,15,1999.123288000000,313.812,0.246000,0.717010,"flask"
1999,3,15,1999.200000000000,313.842,0.325700,0.869019,"flask"
1999,4,15,1999.284932000000,313.736,0.208100,0.907013,"flask"
1999,5,15,1999.367123000000,313.596,0.268100,0.776001,"flask"
1999,6,15,1999.452055000000,313.650,0.263500,0.798981,"flask"
1999,7,15,1999.534247000000,313.807,0.137600,0.933014,"flask"
1999,8,15,1999.619178000000,313.996,0.233800,0.851990,"flask"
1999,9,15,1999.704110000000,314.239,0.330500,0.704987,"flask"
1999,10,15,1999.786301000000,314.375,0.187000,0.735992,"flask"
1999,11,15,1999.871233000000,314.381,0.248200,0.966980,"flask"
1999,12,15,1999.953425000000,314.563,0.233300,1.13901,"flask"
2000,1,15,2000.038251000000,314.759,0.233100,0.983002,"flask"
2000,2,15,2000.122951000000,314.664,0.270600,0.783997,"flask"
2000,3,15,2000.202186000000,314.547,0.278300,0.746979,"flask"
2000,4,15,2000.286885000000,314.472,0.592300,0.770996,"flask"
2000,5,15,2000.368852000000,314.563,0.373900,0.905975,"flask"
2000,6,15,2000.453552000000,314.789,0.0880000,0.832001,"flask"
2000,7,15,2000.535519000000,314.790,0.305900,0.546997,"flask"
2000,8,15,2000.620219000000,314.780,0.163500,0.476990,"flask"
2000,9,15,2000.704918000000,314.986,0.302100,0.384003,"flask"
2000,10,15,2000.786885000000,315.146,0.278400,0.302002,"flask"
2000,11,15,2000.871585000000,315.287,0.182500,0.365021,"flask"
2000,12,15,2000.953552000000,315.395,0.135300,0.385010,"flask"
2001,1,15,2001.038356000000,315.306,0.231600,0.506989,"flask"
2001,2,15,2001.123288000000,315.141,0.111200,0.669006,"flask"
2001,3,15,2001.200000000000,314.931,0.272900,0.727997,"flask"
2001,4,15,2001.284932000000,314.774,0.226400,0.704010,"flask"
2001,5,15,2001.367123000000,314.928,0.108300,0.598999,"flask"
2001,6,15,2001.452055000000,315.174,0.240100,0.618011,"flask"
2001,7,15,2001.534247000000,315.297,0.172500,0.792999,"flask"
2001,8,15,2001.619178000000,315.449,0.259300,0.963013,"flask"
2001,9,15,2001.704110000000,315.714,0.240600,1.00299,"flask"
2001,10,15,2001.786301000000,315.850,0.204500,1.02600,"flask"
2001,11,15,2001.871233000000,315.886,0.136300,0.907990,"flask"
2001,12,15,2001.953425000000,316.013,0.172700,0.871002,"flask"
2002,1,15,2002.038356000000,316.099,0.164600,0.920013,"flask"
2002,2,15,2002.123288000000,316.104,0.335400,0.781006,"flask"
2002,3,15,2002.200000000000,315.934,0.193200,0.455017,"flask"
2002,4,15,2002.284932000000,315.800,0.190000,0.352997,"flask"
2002,5,15,2002.367123000000,315.836,0.228800,0.346008,"flask"
2002,6,15,2002.452055000000,316.045,0.396800,0.161011,"flask"
2002,7,15,2002.534247000000,316.217,0.376900,0.209015,"flask"
2002,8,15,2002.619178000000,316.230,0.137000,0.252991,"flask"
2002,9,15,2002.704110000000,316.169,0.126400,0.279022,"flask"
2002,10,15,2002.786301000000,316.203,0.210300,0.451019,"flask"
2002,11,15,2002.871233000000,316.232,0.182600,0.643005,"flask"
2002,12,15,2002.953425000000,316.174,0.265100,0.485992,"flask"
2003,1,15,2003.038356000000,316.308,0.150100,0.302979,"flask"
2003,2,15,2003.123288000000,316.357,0.368200,0.282990,"flask"
2003,3,15,2003.200000000000,316.213,0.202500,0.493988,"flask"
2003,4,15,2003.284932000000,316.251,0.247200,0.674011,"flask"
2003,5,15,2003.367123000000,316.479,0.265200,0.826019,"flask"
2003,6,15,2003.452055000000,316.531,0.297900,1.23599,"flask"
2003,7,15,2003.534247000000,316.520,0.00730000,1.20297,"flask"
2003,8,15,2003.619178000000,316.513,0.512900,0.886017,"flask"
2003,9,15,2003.704110000000,316.663,0.442000,0.909973,"flask"
2003,10,15,2003.786301000000,316.877,0.352500,0.808990,"flask"
2003,11,15,2003.871233000000,317.058,0.174400,0.553009,"flask"
2003,12,15,2003.953425000000,317.410,0.317700,0.561005,"flask"
2004,1,15,2004.038251000000,317.511,0.333900,0.725006,"flask"
2004,2,15,2004.122951000000,317.243,0.212200,1.17300,"flask"
2004,3,15,2004.202186000000,317.123,0.146000,1.15100,"flask"
2004,4,15,2004.286885000000,317.060,0.102900,0.783997,"flask"
2004,5,15,2004.368852000000,317.032,0.0893000,0.649994,"flask"
2004,6,15,2004.453552000000,317.092,0.324400,0.316986,"flask"
2004,7,15,2004.535519000000,317.245,0.132800,0.471008,"flask"
2004,8,15,2004.620219000000,317.686,0.263500,0.772003,"flask"
2004,9,15,2004.704918000000,317.814,0.200800,0.253021,"flask"
2004,10,15,2004.786885000000,317.661,0.122700,0.0369873,"flask"
2004,11,15,2004.871585000000,317.708,0.180200,0.614990,"flask"
2004,12,15,2004.953552000000,317.727,0.503100,0.957977,"flask"
2005,1,15,2005.038356000000,317.982,0.496700,0.705017,"flask"
2005,2,15,2005.123288000000,318.015,0.134600,0.398010,"flask"
2005,3,15,2005.200000000000,317.376,0.349900,0.546997,"flask"
2005,4,15,2005.284932000000,317.097,0.0796000,0.849976,"flask"
2005,5,15,2005.367123000000,317.647,0.210700,1.13998,"flask"
2005,6,15,2005.452055000000,318.050,0.279600,1.06601,"flask"
2005,7,15,2005.534247000000,317.950,0.288100,0.579010,"flask"
2005,8,15,2005.619178000000,318.084,0.329800,0.660980,"flask"
2005,9,15,2005.704110000000,318.361,0.456600,1.29099,"flask"
2005,10,15,2005.786301000000,318.511,0.471600,1.39301,"flask"
2005,11,15,2005.871233000000,318.848,0.0906000,0.839996,"flask"
2005,12,15,2005.953425000000,318.793,0.425800,0.578003,"flask"
2006,1,15,2006.038356000000,318.561,0.0371000,0.778992,"flask"
2006,2,15,2006.123288000000,318.676,0.0404000,0.938995,"flask"
2006,3,15,2006.200000000000,318.667,0.331600,0.942993,"flask"
2006,4,15,2006.284932000000,318.490,0.307200,0.775024,"flask"
2006,5,15,2006.367123000000,318.487,0.151400,0.544006,"flask"
2006,6,15,2006.452055000000,318.628,0.0532000,0.718994,"flask"
2006,7,15,2006.534247000000,318.729,0.0621000,0.843994,"flask"
2006,8,15,2006.619178000000,319.023,0.203800,0.643005,"flask"
2006,9,15,2006.704110000000,319.304,0.0318000,0.644012,"flask"
2006,10,15,2006.786301000000,319.286,0.272400,0.671021,"flask"
2006,11,15,2006.871233000000,319.392,0.242200,0.411011,"flask"
2006,12,15,2006.953425000000,319.512,0.124000,0.317017,"flask"
2007,1,15,2007.038356000000,319.405,0.336100,0.494995,"flask"
2007,2,15,2007.123288000000,319.319,0.00810000,0.535004,"flask"
2007,3,15,2007.200000000000,319.311,0.199300,0.534027,"flask"
2007,4,15,2007.284932000000,319.161,0.0810000,0.671997,"flask"
2007,5,15,2007.367123000000,318.898,0.243300,0.826996,"flask"
2007,6,15,2007.452055000000,318.945,0.114800,0.704010,"flask"
2007,7,15,2007.534247000000,319.224,0.0948000,0.604004,"flask"
2007,8,15,2007.619178000000,319.558,0.152000,1.13199,"flask"
2007,9,15,2007.704110000000,319.838,0.0852000,1.43399,"flask"
2007,10,15,2007.786301000000,319.958,0.308500,1.38098,"flask"
2007,11,15,2007.871233000000,320.219,0.249500,1.56900,"flask"
2007,12,15,2007.953425000000,320.216,0.111100,1.57001,"flask"
2008,1,15,2008.038251000000,320.009,0.100100,1.43900,"flask"
2008,2,15,2008.122951000000,320.451,0.360400,1.28299,"flask"
2008,3,15,2008.202186000000,320.745,0.0337000,1.09998,"flask"
2008,4,15,2008.286885000000,320.542,0.405100,1.17798,"flask"
2008,5,15,2008.368852000000,320.467,0.0868000,1.22702,"flask"
2008,6,15,2008.453552000000,320.515,0.674100,1.19800,"flask"
2008,7,15,2008.535519000000,320.663,0.140700,1.30701,"flask"
2008,8,15,2008.620219000000,320.841,0.147100,1.06802,"flask"
2008,9,15,2008.704918000000,320.938,0.334500,0.537018,"flask"
2008,10,15,2008.786885000000,321.136,0.0916000,0.279999,"flask"
2008,11,15,2008.871585000000,321.446,0.0938000,0.431976,"flask"
2008,12,15,2008.953552000000,321.414,0.377800,0.626984,"flask"
2009,1,15,2009.038356000000,321.316,0.0475000,0.627991,"flask"
2009,2,15,2009.123288000000,321.519,0.0371000,0.667999,"flask"
2009,3,15,2009.200000000000,321.282,0.179800,0.627014,"flask"
2009,4,15,2009.284932000000,320.822,0.160500,0.646027,"flask"
2009,5,15,2009.367123000000,320.899,0.333500,0.690979,"flask"
2009,6,15,2009.452055000000,321.142,0.187300,0.726990,"flask"
2009,7,15,2009.534247000000,321.291,0.418800,0.917999,"flask"
2009,8,15,2009.619178000000,321.509,0.190400,0.824982,"flask"
2009,9,15,2009.704110000000,321.565,0.129900,0.833984,"flask"
2009,10,15,2009.786301000000,321.782,0.123800,0.973999,"flask"
2009,11,15,2009.871233000000,322.137,0.271400,0.845001,"flask"
2009,12,15,2009.953425000000,322.141,0.218800,0.987000,"flask"
2010,1,15,2010.038356000000,322.234,0.0648000,1.17502,"flask"
2010,2,15,2010.123288000000,322.344,0.0229000,0.976990,"flask"
2010,3,15,2010.200000000000,322.116,0.103900,1.12100,"flask"
2010,4,15,2010.284932000000,321.796,0.0724000,1.18698,"flask"
2010,5,15,2010.367123000000,321.744,0.0586000,1.09601,"flask"
2010,6,15,2010.452055000000,322.129,0.211700,1.36200,"flask"
2010,7,15,2010.534247000000,322.466,0.0524000,1.10898,"flask"
2010,8,15,2010.619178000000,322.486,0.109500,0.701019,"flask"
2010,9,15,2010.704110000000,322.686,0.0926000,0.998993,"flask"
2010,10,15,2010.786301000000,322.969,0.0690000,1.41602,"flask"
2010,11,15,2010.871233000000,323.233,0.0941000,1.36600,"flask"
2010,12,15,2010.953425000000,323.503,0.0497000,0.911011,"flask"
2011,1,15,2011.038356000000,323.343,0.114500,0.511993,"flask"
2011,2,15,2011.123288000000,323.045,0.0394000,0.674011,"flask"
2011,3,15,2011.200000000000,323.115,0.0579000,0.811005,"flask"
2011,4,15,2011.284932000000,323.212,0.0153000,0.694000,"flask"
2011,5,15,2011.367123000000,323.110,0.0329000,0.589996,"flask"
2011,6,15,2011.452055000000,323.040,0.130800,0.443024,"flask"
2011,7,15,2011.534247000000,322.978,0.307600,0.886017,"flask"
2011,8,15,2011.619178000000,323.160,0.109800,1.12299,"flask"
2011,9,15,2011.704110000000,323.497,0.310200,0.637024,"flask"
2011,10,15,2011.786301000000,323.663,0.0471000,0.582001,"flask"
2011,11,15,2011.871233000000,323.823,0.0950000,1.04602,"flask"
2011,12,15,2011.953425000000,323.946,0.0590000,1.20599,"flask"
2012,1,15,2012.038251000000,324.229,0.145500,1.16901,"flask"
2012,2,15,2012.122951000000,324.168,0.113400,1.24600,"flask"
2012,3,15,2012.202186000000,323.752,0.328400,1.18900,"flask"
2012,4,15,2012.286885000000,323.794,0.0959000,1.12302,"flask"
2012,5,15,2012.368852000000,324.156,0.109200,1.22501,"flask"
2012,6,15,2012.453552000000,324.246,0.0346000,1.13498,"flask"
2012,7,15,2012.535519000000,324.147,0.119400,0.696991,"flask"
2012,8,15,2012.620219000000,324.406,0.178700,0.720001,"flask"
2012,9,15,2012.704918000000,324.686,0.203200,1.07098,"flask"
2012,10,15,2012.786885000000,324.786,0.0800000,1.01401,"flask"
2012,11,15,2012.871585000000,325.048,0.159500,0.588989,"flask"
2012,12,15,2012.953552000000,325.081,0.198900,0.699005,"flask"
2013,1,15,2013.038356000000,324.926,0.458400,1.21100,"flask"
2013,2,15,2013.123288000000,324.888,0.192900,0.984009,"flask"
2013,3,15,2013.200000000000,324.823,0.0153000,0.842010,"flask"
2013,4,15,2013.284932000000,324.808,0.322800,0.910004,"flask"
2013,5,15,2013.367123000000,324.745,0.0976000,0.550995,"flask"
2013,6,15,2013.452055000000,324.945,0.131200,0.365997,"flask"
2013,7,15,2013.534247000000,325.358,0.0741000,0.515015,"flask"
2013,8,15,2013.619178000000,325.390,0.258900,0.729004,"flask"
2013,9,15,2013.704110000000,325.528,0.155100,0.769989,"flask"
2013,10,15,2013.786301000000,325.696,0.483500,0.725983,"flask"
2013,11,15,2013.871233000000,325.599,0.204300,0.891998,"flask"
2013,12,15,2013.953425000000,325.447,0.458000,0.968994,"flask"
2014,1,15,2014.038356000000,325.441,0.104100,0.851990,"flask"
2014,2,15,2014.123288000000,325.617,0.0559000,1.05298,"flask"
2014,3,15,2014.200000000000,325.593,0.198500,1.13098,"flask"
2014,4,15,2014.284932000000,325.534,0.153000,1.14999,"flask"
2014,5,15,2014.367123000000,325.637,0.275400,1.44901,"flask"
2014,6,15,2014.452055000000,325.914,0.247300,1.67700,"flask"
2014,7,15,2014.534247000000,326.210,0.0713000,1.71600,"flask"
2014,8,15,2014.619178000000,326.443,0.311400,1.44598,"flask"
2014,9,15,2014.704110000000,326.659,0.0924000,1.24701,"flask"
2014,10,15,2014.786301000000,326.846,0.169700,1.31100,"flask"
2014,11,15,2014.871233000000,327.048,0.186700,1.39801,"flask"
2014,12,15,2014.953425000000,327.124,0.336800,1.28000,"flask"
2015,1,15,2015.038356000000,327.157,0.212300,1.13101,"flask"
2015,2,15,2015.123288000000,327.063,0.0858000,1.00800,"flask"
2015,3,15,2015.200000000000,326.840,0.272100,0.890991,"flask"
2015,4,15,2015.284932000000,326.845,0.275600,0.750000,"flask"
2015,5,15,2015.367123000000,327.035,0.174700,0.662994,"flask"
2015,6,15,2015.452055000000,327.194,0.141300,0.815002,"flask"
2015,7,15,2015.534247000000,327.341,0.177300,0.758972,"flask"
2015,8,15,2015.619178000000,327.451,0.272400,0.693024,"flask"
2015,9,15,2015.704110000000,327.550,0.144800,0.902008,"flask"
2015,10,15,2015.786301000000,327.596,0.109400,0.777008,"flask"
2015,11,15,2015.871233000000,327.711,0.169800,0.489990,"flask"
2015,12,15,2015.953425000000,327.939,0.271400,0.440002,"flask"
2016,1,15,2016.038251000000,327.916,0.244300,0.393982,"flask"
2016,2,15,2016.122951000000,327.756,0.151900,0.615021,"flask"
2016,3,15,2016.202186000000,327.742,0.203200,0.822021,"flask"
2016,4,15,2016.286885000000,327.622,0.230000,0.714996,"flask"
2016,5,15,2016.368852000000,327.525,0.319500,0.597992,"flask"
2016,6,15,2016.453552000000,327.634,0.233100,0.501007,"flask"
2016,7,15,2016.535519000000,327.735,0.172900,0.488007,"flask"
2016,8,15,2016.620219000000,328.066,0.230800,0.352997,"flask"
2016,9,15,2016.704918000000,328.372,0.315100,0.352997,"flask"
2016,10,15,2016.786885000000,328.311,0.215200,0.649994,"flask"
2016,11,15,2016.871585000000,328.309,0.103500,0.834991,"flask"
2016,12,15,2016.953552000000,328.440,0.164100,0.994995,"flask"
2017,1,15,2017.038356000000,328.404,0.219000,1.10101,"flask"
2017,2,15,2017.123288000000,328.109,0.300400,1.02298,"flask"
2017,3,15,2017.200000000000,328.095,0.0609000,1.01099,"flask"
2017,4,15,2017.284932000000,328.272,0.179300,1.16000,"flask"
2017,5,15,2017.367123000000,328.360,0.288800,1.32501,"flask"
2017,6,15,2017.452055000000,328.629,0.287500,1.38699,"flask"
2017,7,15,2017.534247000000,328.836,0.455200,1.49600,"flask"
2017,8,15,2017.619178000000,329.089,0.263200,1.78198,"flask"
2017,9,15,2017.704110000000,329.383,0.297500,1.84601,"flask"
2017,10,15,2017.786301000000,329.471,0.250500,1.79498,"flask"
2017,11,15,2017.871233000000,329.634,0.189300,1.58401,"flask"
2017,12,15,2017.953425000000,329.827,0.245300,1.41199,"flask"
2018,1,15,2018.038356000000,329.900,0.189600,1.51401,"flask"
2018,2,15,2018.123288000000,329.891,0.0581000,1.41501,"flask"
2018,3,15,2018.200000000000,329.941,0.286500,1.36099,"flask"
2018,4,15,2018.284932000000,330.067,0.215600,1.32800,"flask"
2018,5,15,2018.367123000000,329.944,0.0450000,1.29498,"flask"
2018,6,15,2018.452055000000,330.041,0.429900,1.27701,"flask"
2018,7,15,2018.534247000000,330.350,0.331800,1.02002,"flask"
2018,8,15,2018.619178000000,330.504,0.190300,0.770020,"flask"
2018,9,15,2018.704110000000,330.744,0.140800,0.550995,"flask"
2018,10,15,2018.786301000000,330.799,0.0627000,0.495026,"flask"
2018,11,15,2018.871233000000,330.929,0.251800,0.664001,"flask"
2018,12,15,2018.953425000000,331.104,0.563900,0.545013,"flask"
2019,1,15,2019.038356000000,330.920,0.400200,0.433990,"flask"
2019,2,15,2019.123288000000,330.661,0.285300,0.580017,"flask"
2019,3,15,2019.200000000000,330.492,0.235700,0.508026,"flask"
2019,4,15,2019.284932000000,330.562,0.164700,0.632996,"flask"
2019,5,15,2019.367123000000,330.608,0.0706000,0.619019,"flask"
2019,6,15,2019.452055000000,330.586,0.164900,0.372986,"flask"
2019,7,15,2019.534247000000,330.784,0.142400,0.481995,"flask"
2019,8,15,2019.619178000000,331.084,0.0702000,0.700989,"flask"
2019,9,15,2019.704110000000,331.252,0.173000,0.738983,"flask"
2019,10,15,2019.786301000000,331.432,0.192200,0.643982,"flask"
2019,11,15,2019.871233000000,331.548,0.203600,0.787994,"flask"
2019,12,15,2019.953425000000,331.477,0.287000,1.02899,"flask"
2020,1,15,2020.038251000000,331.402,0.306800,1.06900,"flask"
2020,2,15,2020.122951000000,331.362,0.257400,1.03198,"flask"
2020,3,15,2020.202186000000,331.231,0.373000,1.08298,"flask"
2020,4,15,2020.286885000000,331.206,0.246400,1.11700,"flask"
2020,5,15,2020.368852000000,331.396,0.234400,1.10699,"flask"
2020,6,15,2020.453552000000,331.615,0.279100,1.18301,"flask"
2020,7,15,2020.535519000000,331.853,0.290600,1.37799,"flask"
2020,8,15,2020.620219000000,332.116,0.489400,1.48999,"flask"
2020,9,15,2020.704918000000,332.335,0.204100,1.47400,"flask"
2020,10,15,2020.786885000000,332.549,0.189000,1.77100,"flask"
2020,11,15,2020.871585000000,332.655,0.225500,1.83899,"flask"
2020,12,15,2020.953552000000,332.660,0.350900,1.44601,"flask"
2021,1,15,2021.038356000000,332.780,0.0557000,1.40601,"flask"
2021,2,15,2021.123288000000,332.852,0.233000,1.30600,"flask"
2021,3,15,2021.200000000000,332.705,0.349700,1.24902,"flask"
2021,4,15,2021.284932000000,332.977,0.430100,1.44998,"flask"
2021,5,15,2021.367123000000,333.235,0.365500,1.59601,"flask"
2021,6,15,2021.452055000000,333.061,0.0733000,1.82599,"flask"
2021,7,15,2021.534247000000,333.259,0.166800,1.87399,"flask"
2021,8,15,2021.619178000000,333.422,0.143700,1.73001,"flask"
2021,9,15,2021.704110000000,333.584,0.296500,1.87003,"flask"
